,index,winner_name,winner_hand,winner_ht,winner_age,score,tourney_name,minutes,loser_name,loser_hand,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points
622,1060,Angelique Kerber,L,173.0,36.2,6-1 6-0,Rome,62.0,Lauren Davis,R,157.0,30.5,331.0,202.0,194.0,392.0
623,1061,Aliaksandra Sasnovich,R,174.0,30.1,6-2 7-6(6),Rome,119.0,Anna Karolina Schmiedlova,R,176.0,29.6,113.0,691.0,67.0,1003.0
624,1062,Xin Yu Wang,R,182.0,22.6,4-6 6-1 6-2,Rome,142.0,Yue Yuan,R,184.0,25.6,42.0,1371.0,38.0,1461.0
625,1063,Camila Osorio,R,162.0,22.3,4-6 6-3 6-4,Rome,151.0,Arantxa Rus,L,180.0,33.3,64.0,1027.0,49.0,1194.0
626,1065,Ana Bogdan,R,171.0,31.4,6-4 6-1,Rome,102.0,Leylah Fernandez,L,168.0,21.6,63.0,1029.0,34.0,1575.0
627,1066,Magdalena Frech,R,171.0,26.3,7-6(2) 6-3,Rome,134.0,Ashlyn Krueger,R,185.0,19.9,55.0,1138.0,66.0,1004.0
628,1071,Naomi Osaka,R,180.0,26.5,7-6(2) 6-1,Rome,84.0,Clara Burel,R,176.0,23.1,173.0,424.0,45.0,1300.0
629,1075,Lesia Tsurenko,R,174.0,34.9,6-2 3-6 7-6(5),Rome,159.0,Donna Vekic,R,179.0,27.8,44.0,1308.0,37.0,1468.0
630,1076,Magda Linette,R,171.0,32.2,6-3 6-2,Rome,81.0,Lin Zhu,R,173.0,30.2,51.0,1188.0,57.0,1097.0
631,1077,Mayar Sherif,R,180.0,28.0,6-2 6-2,Rome,75.0,Petra Martic,R,181.0,33.2,80.0,854.0,81.0,849.0
632,1078,Anna Blinkova,R,179.0,25.6,6-2 6-3,Rome,75.0,Diane Parry,R,170.0,21.6,46.0,1275.0,50.0,1190.0
633,1081,Irina Camelia Begu,R,181.0,33.6,5-7 6-3 6-4,Rome,170.0,Rebeka Masarova,R,186.0,24.7,161.0,471.0,104.0,725.0
634,1084,Sara Sorribes Tormo,R,176.0,27.5,6-4 6-3,Rome,119.0,Nadia Podoroska,R,170.0,27.2,47.0,1266.0,61.0,1076.0
635,1086,Sara Errani,R,164.0,37.0,4-6 6-2 6-1,Rome,111.0,Amanda Anisimova,R,180.0,22.6,93.0,777.0,237.0,312.0
636,1087,Clara Tauson,R,182.0,21.3,6-2 6-3,Rome,77.0,Daria Saville,R,166.0,30.1,78.0,872.0,84.0,819.0
637,1094,Mayar Sherif,R,180.0,28.0,6-3 6-3,Rabat,97.0,Sara Sorribes Tormo,R,176.0,27.6,66.0,980.0,46.0,1246.0
638,1096,Viktoriya Tomova,R,170.0,29.2,6-4 6-3,Rabat,115.0,Laura Siegemund,R,168.0,36.2,84.0,846.0,78.0,879.0
639,1099,Sara Sorribes Tormo,R,176.0,27.6,7-5 3-6 6-3,Rabat,178.0,Nadia Podoroska,R,170.0,27.2,46.0,1246.0,59.0,1076.0
640,1103,Viktoriya Tomova,R,170.0,29.2,7-6(4) 6-0,Rabat,101.0,Yafan Wang,R,170.0,30.0,84.0,846.0,68.0,962.0
641,1104,Laura Siegemund,R,168.0,36.2,6-4 6-4,Rabat,146.0,Camila Osorio,R,162.0,22.4,78.0,879.0,77.0,895.0
642,1109,Sara Sorribes Tormo,R,176.0,27.6,6-2 6-0,Rabat,75.0,Harriet Dart,R,175.0,27.8,46.0,1246.0,91.0,789.0
643,1110,Nadia Podoroska,R,170.0,27.2,6-2 6-4,Rabat,84.0,Tatjana Maria,R,172.0,36.7,59.0,1076.0,64.0,1024.0
644,1115,Martina Trevisan,L,160.0,30.5,7-5 4-6 6-3,Rabat,156.0,Nao Hibino,R,163.0,29.4,88.0,808.0,96.0,764.0
645,1117,Yafan Wang,R,170.0,30.0,4-6 6-0 6-2,Rabat,128.0,Lin Zhu,R,173.0,30.3,68.0,962.0,58.0,1077.0
646,1120,Laura Siegemund,R,168.0,36.2,6-1 7-6(4),Rabat,108.0,Anna Blinkova,R,179.0,25.6,78.0,879.0,45.0,1275.0
647,1121,Madison Keys,R,178.0,29.2,6-1 6-2,Strasbourg,72.0,Danielle Collins,R,178.0,30.4,16.0,2783.0,12.0,3148.0
648,1122,Danielle Collins,R,178.0,30.4,7-6(3) 6-2,Strasbourg,99.0,Anhelina Kalinina,R,179.0,27.2,12.0,3148.0,56.0,1081.0
649,1123,Madison Keys,R,178.0,29.2,6-1 6-3,Strasbourg,77.0,Liudmila Samsonova,R,180.0,25.5,16.0,2783.0,19.0,2440.0
650,1124,Anhelina Kalinina,R,179.0,27.2,5-7 6-3 6-2,Strasbourg,154.0,Marketa Vondrousova,L,173.0,24.8,56.0,1081.0,6.0,4035.0
651,1125,Danielle Collins,R,178.0,30.4,6-1 6-3,Strasbourg,63.0,Clara Burel,R,176.0,23.1,12.0,3148.0,43.0,1290.0
652,1126,Madison Keys,R,178.0,29.2,6-1 6-3,Strasbourg,69.0,Magda Linette,R,171.0,32.2,16.0,2783.0,50.0,1158.0
653,1127,Liudmila Samsonova,R,180.0,25.5,6-3 6-0,Strasbourg,89.0,Beatriz Haddad Maia,L,185.0,27.9,19.0,2440.0,14.0,2885.0
654,1128,Marketa Vondrousova,L,173.0,24.8,5-7 6-1 6-0,Strasbourg,133.0,Magdalena Frech,R,171.0,26.4,6.0,4035.0,54.0,1108.0
655,1129,Anhelina Kalinina,R,179.0,27.2,6-3 3-6 6-0,Strasbourg,133.0,Fiona Ferro,R,170.0,27.1,56.0,1081.0,142.0,526.0
656,1130,Danielle Collins,R,178.0,30.4,6-1 6-2,Strasbourg,64.0,Katerina Siniakova,R,174.0,28.0,12.0,3148.0,34.0,1535.0
657,1131,Clara Burel,R,176.0,23.1,7-6(1) 4-6 6-1,Strasbourg,135.0,Elina Svitolina,R,174.0,29.6,43.0,1290.0,17.0,2510.0
658,1132,Magda Linette,R,171.0,32.2,6-7(5) 6-3 6-3,Strasbourg,176.0,Ekaterina Alexandrova,R,175.0,29.5,50.0,1158.0,18.0,2450.0
659,1133,Madison Keys,R,178.0,29.2,7-5 6-0,Strasbourg,80.0,Xin Yu Wang,R,182.0,22.6,16.0,2783.0,39.0,1381.0
660,1134,Liudmila Samsonova,R,180.0,25.5,4-6 6-4 6-2,Strasbourg,146.0,Leylah Fernandez,L,168.0,21.7,19.0,2440.0,33.0,1535.0
661,1136,Magdalena Frech,R,171.0,26.4,6-3 6-3,Strasbourg,85.0,Sloane Stephens,R,170.0,31.1,54.0,1108.0,35.0,1527.0
662,1138,Anhelina Kalinina,R,179.0,27.2,6-3 3-6 6-4,Strasbourg,157.0,Anastasia Pavlyuchenkova,R,177.0,32.8,56.0,1081.0,22.0,2166.0
663,1139,Katerina Siniakova,R,174.0,28.0,6-0 7-5,Strasbourg,89.0,Yulia Putintseva,R,163.0,29.3,34.0,1535.0,37.0,1423.0
664,1140,Clara Burel,R,176.0,23.1,7-5 0-6 6-1,Strasbourg,112.0,Karolina Pliskova,R,184.0,32.1,43.0,1290.0,51.0,1147.0
665,1141,Elina Svitolina,R,174.0,29.6,6-3 6-4,Strasbourg,85.0,Diane Parry,R,170.0,21.7,17.0,2510.0,61.0,1036.0
666,1143,Magda Linette,R,171.0,32.2,7-5 7-5,Strasbourg,113.0,Sorana Cirstea,R,176.0,34.1,50.0,1158.0,30.0,1704.0
667,1144,Xin Yu Wang,R,182.0,22.6,6-4 7-6(3),Strasbourg,100.0,Anna Kalinskaya,R,175.0,25.4,39.0,1381.0,25.0,1916.0
668,1145,Liudmila Samsonova,R,180.0,25.5,6-2 6-7(5) 6-4,Strasbourg,180.0,Barbora Krejcikova,R,178.0,28.4,19.0,2440.0,26.0,1767.0
669,1146,Leylah Fernandez,L,168.0,21.7,4-6 7-6(4) 6-3,Strasbourg,161.0,Anastasia Potapova,R,175.0,23.1,33.0,1535.0,41.0,1317.0
670,1275,Liudmila Samsonova,R,180.0,25.5,4-6 6-3 7-5,s Hertogenbosch,154.0,Bianca Andreescu,R,170.0,23.9,15.0,2640.0,228.0,323.0
671,1276,Bianca Andreescu,R,170.0,23.9,6-4 6-2,s Hertogenbosch,91.0,Dalma Galfi,R,178.0,25.8,228.0,323.0,138.0,529.0
672,1277,Liudmila Samsonova,R,180.0,25.5,6-3 6-7(1) 6-1,s Hertogenbosch,146.0,Ekaterina Alexandrova,R,175.0,29.5,15.0,2640.0,16.0,2360.0
673,1278,Dalma Galfi,R,178.0,25.8,7-5 6-3,s Hertogenbosch,84.0,Aleksandra Krunic,R,163.0,31.2,138.0,529.0,400.0,154.0
674,1279,Bianca Andreescu,R,170.0,23.9,6-4 3-6 7-6(3),s Hertogenbosch,135.0,Naomi Osaka,R,180.0,26.6,228.0,323.0,125.0,614.0
675,1282,Aleksandra Krunic,R,163.0,31.2,7-6(3) 6-7(3) 6-4,s Hertogenbosch,164.0,Jessica Pegula,R,170.0,30.2,400.0,154.0,5.0,4625.0
676,1283,Dalma Galfi,R,178.0,25.8,6-3 3-6 7-5,s Hertogenbosch,141.0,Veronika Kudermetova,R,175.0,27.1,138.0,529.0,34.0,1623.0
677,1285,Bianca Andreescu,R,170.0,23.9,6-4 6-4,s Hertogenbosch,81.0,Yue Yuan,R,184.0,25.7,228.0,323.0,38.0,1422.0
678,1290,Jessica Pegula,R,170.0,30.2,6-2 6-2,s Hertogenbosch,58.0,Aliaksandra Sasnovich,R,174.0,30.2,5.0,4625.0,98.0,748.0
679,1292,Dalma Galfi,R,178.0,25.8,6-0 6-3,s Hertogenbosch,61.0,Arantxa Rus,L,180.0,33.4,138.0,529.0,57.0,1054.0
680,1294,Naomi Osaka,R,180.0,26.6,6-2 6-4,s Hertogenbosch,69.0,Elise Mertens,R,179.0,28.5,125.0,614.0,32.0,1629.0
681,1299,Jule Niemeier,R,178.0,24.8,6-4 6-7(3) 6-4,s Hertogenbosch,140.0,Clara Tauson,R,182.0,21.4,91.0,791.0,65.0,994.0
682,1301,Ekaterina Alexandrova,R,175.0,29.5,6-3 6-4,s Hertogenbosch,79.0,Arina Rodionova,R,168.0,34.4,16.0,2360.0,105.0,712.0
683,1302,Donna Vekic,R,179.0,27.9,6-1 6-3,s Hertogenbosch,73.0,Tamara Korpatsch,R,170.0,29.0,39.0,1418.0,74.0,951.0
684,1305,Liudmila Samsonova,R,180.0,25.5,6-1 6-3,s Hertogenbosch,85.0,Alison Van Uytvanck,R,173.0,30.2,15.0,2640.0,266.0,268.0
685,1306,Katie Boulter,R,180.0,27.8,4-6 6-3 6-2,Nottingham,113.0,Karolina Pliskova,R,184.0,32.2,30.0,1671.0,50.0,1147.0
686,1307,Karolina Pliskova,R,184.0,32.2,6-7(9) 6-1 6-4,Nottingham,142.0,Diane Parry,R,170.0,21.7,50.0,1147.0,64.0,999.0
687,1308,Katie Boulter,R,180.0,27.8,6-7(13) 6-3 6-4,Nottingham,193.0,Emma Raducanu,R,175.0,21.5,30.0,1671.0,209.0,353.0
688,1309,Karolina Pliskova,R,184.0,32.2,7-6(8) 6-7(3) 7-5,Nottingham,153.0,Ons Jabeur,R,167.0,29.7,50.0,1147.0,10.0,3748.0
689,1310,Diane Parry,R,170.0,21.7,6-3 7-6(4),Nottingham,125.0,Kimberly Birrell,R,170.0,26.1,64.0,999.0,148.0,500.0
690,1311,Katie Boulter,R,180.0,27.8,6-2 6-4,Nottingham,83.0,Magdalena Frech,R,171.0,26.4,30.0,1671.0,52.0,1106.0
691,1314,Karolina Pliskova,R,184.0,32.2,6-4 6-4,Nottingham,86.0,Heather Watson,R,170.0,32.0,50.0,1147.0,158.0,476.0
692,1315,Diane Parry,R,170.0,21.7,6-4 6-1,Nottingham,85.0,Daria Saville,R,166.0,30.2,64.0,999.0,84.0,815.0
693,1317,Magdalena Frech,R,171.0,26.4,3-6 6-3 6-1,Nottingham,143.0,Tatjana Maria,R,172.0,36.8,52.0,1106.0,56.0,1059.0
694,1318,Katie Boulter,R,180.0,27.8,6-4 6-3,Nottingham,74.0,Rebecca Marino,R,183.0,33.4,30.0,1671.0,157.0,478.0
695,1321,Ons Jabeur,R,167.0,29.7,6-2 6-3,Nottingham,62.0,Camila Osorio,R,162.0,22.4,10.0,3748.0,81.0,875.0
696,1323,Heather Watson,R,170.0,32.0,4-6 6-0 6-4,Nottingham,116.0,Kayla Day,L,173.0,24.7,158.0,476.0,130.0,589.0
697,1324,Karolina Pliskova,R,184.0,32.2,6-4 6-4,Nottingham,75.0,Alycia Parks,R,185.0,23.4,50.0,1147.0,151.0,494.0
698,1325,Daria Saville,R,166.0,30.2,6-3 6-3,Nottingham,94.0,Clara Burel,R,176.0,23.2,84.0,815.0,42.0,1288.0
699,1329,Magdalena Frech,R,171.0,26.4,6-1 6-4,Nottingham,70.0,Nao Hibino,R,163.0,29.5,52.0,1106.0,95.0,770.0
700,1331,Rebecca Marino,R,183.0,33.4,6-1 6-4,Nottingham,70.0,Viktorija Golubic,R,169.0,31.6,157.0,478.0,73.0,952.0
701,1332,Katie Boulter,R,180.0,27.8,6-7(5) 6-4 7-5,Nottingham,193.0,Harriet Dart,R,175.0,27.8,30.0,1671.0,92.0,779.0
702,1334,Ashlyn Krueger,R,185.0,20.0,6-3 6-3,Nottingham,77.0,Yafan Wang,R,170.0,30.1,70.0,974.0,72.0,962.0
703,1335,Emma Raducanu,R,175.0,21.5,6-1 6-4,Nottingham,70.0,Ena Shibahara,R,170.0,26.3,209.0,353.0,274.0,258.0
704,1337,Jessica Pegula,R,170.0,30.3,6-7(0) 6-4 7-6(3),Berlin,158.0,Anna Kalinskaya,R,175.0,25.5,5.0,4625.0,24.0,1986.0
705,1338,Jessica Pegula,R,170.0,30.3,7-5 7-6(2),Berlin,102.0,Coco Gauff,R,175.0,20.2,5.0,4625.0,2.0,7988.0
706,1339,Anna Kalinskaya,R,175.0,25.5,6-1 6-7(3) 6-1,Berlin,130.0,Victoria Azarenka,R,180.0,34.8,24.0,1986.0,19.0,2205.0
707,1341,Jessica Pegula,R,170.0,30.3,7-6(2) 3-6 6-3,Berlin,156.0,Katerina Siniakova,R,174.0,28.1,5.0,4625.0,30.0,1645.0
708,1344,Coco Gauff,R,175.0,20.2,7-6(6) 6-2,Berlin,80.0,Ekaterina Alexandrova,R,175.0,29.5,2.0,7988.0,20.0,2178.0
709,1346,Jessica Pegula,R,170.0,30.3,6-4 7-5,Berlin,89.0,Donna Vekic,R,179.0,27.9,5.0,4625.0,39.0,1418.0
710,1349,Elena Rybakina,R,184.0,25.0,6-4 7-5,Berlin,95.0,Veronika Kudermetova,R,175.0,27.1,4.0,5973.0,35.0,1503.0
711,1351,Aryna Sabalenka,R,182.0,26.1,6-1 6-4,Berlin,60.0,Daria Kasatkina,R,170.0,27.1,3.0,7788.0,14.0,3088.0
712,1352,Ekaterina Alexandrova,R,175.0,29.5,6-4 6-4,Berlin,86.0,Beatriz Haddad Maia,L,185.0,28.0,20.0,2178.0,18.0,2213.0
713,1354,Ons Jabeur,R,167.0,29.8,6-4 7-6(4),Berlin,93.0,Xin Yu Wang,R,182.0,22.7,10.0,3748.0,40.0,1411.0
714,1355,Donna Vekic,R,179.0,27.9,1-6 6-1 6-3,Berlin,107.0,Jule Niemeier,R,178.0,24.8,39.0,1418.0,88.0,809.0
715,1358,Victoria Azarenka,R,180.0,34.8,6-4 6-2,Berlin,93.0,Maria Sakkari,R,172.0,28.8,19.0,2205.0,9.0,3980.0
716,1360,Veronika Kudermetova,R,175.0,27.1,3-6 6-4 6-4,Berlin,136.0,Liudmila Samsonova,R,180.0,25.5,35.0,1503.0,15.0,2830.0
717,1361,Marketa Vondrousova,L,173.0,24.9,6-4 6-3,Berlin,77.0,Rebeka Masarova,R,186.0,24.8,6.0,4503.0,100.0,717.0
718,1362,Anna Kalinskaya,R,175.0,25.5,2-6 6-4 6-2,Berlin,113.0,Nao Hibino,R,163.0,29.5,24.0,1986.0,93.0,770.0
719,1363,Daria Kasatkina,R,170.0,27.1,4-6 7-6(6) 6-3,Berlin,158.0,Marta Kostyuk,R,175.0,21.9,14.0,3088.0,16.0,2240.0
720,1364,Yulia Putintseva,R,163.0,29.4,6-1 7-6(8),Birmingham,87.0,Ajla Tomljanovic,R,180.0,31.1,41.0,1333.0,190.0,393.0
721,1366,Ajla Tomljanovic,R,180.0,31.1,7-6(5) 6-4,Birmingham,90.0,Anastasia Potapova,R,175.0,23.2,190.0,393.0,36.0,1427.0
722,1368,Yulia Putintseva,R,163.0,29.4,6-3 6-7(2) 6-1,Birmingham,130.0,Caroline Dolehide,R,178.0,25.7,41.0,1333.0,61.0,1035.0
723,1369,Ajla Tomljanovic,R,180.0,31.1,1-6 6-3 6-2,Birmingham,105.0,Leylah Fernandez,L,168.0,21.7,190.0,393.0,33.0,1625.0
724,1370,Anastasia Potapova,R,175.0,23.2,6-1 6-4,Birmingham,71.0,Barbora Krejcikova,R,178.0,28.4,36.0,1427.0,25.0,1768.0
725,1373,Yulia Putintseva,R,163.0,29.4,6-3 6-0,Birmingham,56.0,Anhelina Kalinina,R,179.0,27.3,41.0,1333.0,47.0,1221.0
726,1375,Leylah Fernandez,L,168.0,21.7,4-6 7-5 6-3,Birmingham,141.0,Viktorija Golubic,R,169.0,31.6,33.0,1625.0,78.0,893.0
727,1376,Ajla Tomljanovic,R,180.0,31.1,6-7(6) 6-1 6-4,Birmingham,155.0,Lin Zhu,R,173.0,30.3,190.0,393.0,54.0,1077.0
728,1378,Barbora Krejcikova,R,178.0,28.4,6-3 6-4,Birmingham,88.0,Harriet Dart,R,175.0,27.8,25.0,1768.0,101.0,716.0
729,1380,Sloane Stephens,R,170.0,31.2,6-3 6-3,Birmingham,85.0,Yue Yuan,R,184.0,25.7,48.0,1217.0,38.0,1422.0
730,1382,Marie Bouzkova,R,180.0,25.9,3-6 6-4 7-5,Birmingham,172.0,Heather Watson,R,170.0,32.0,37.0,1425.0,198.0,378.0
731,1384,Yulia Putintseva,R,163.0,29.4,6-3 6-4,Birmingham,86.0,Clara Burel,R,176.0,23.2,41.0,1333.0,43.0,1288.0
732,1385,Caroline Dolehide,R,178.0,25.7,2-6 6-3 7-6(5),Birmingham,116.0,Karolina Pliskova,R,184.0,32.2,61.0,1035.0,42.0,1309.0
733,1386,Elise Mertens,R,179.0,28.5,6-4 6-1,Birmingham,91.0,Caroline Wozniacki,R,177.0,33.9,32.0,1629.0,114.0,665.0
734,1387,Leylah Fernandez,L,168.0,21.7,6-1 6-1,Birmingham,63.0,Sara Sorribes Tormo,R,176.0,27.6,33.0,1625.0,57.0,1055.0
735,1388,Viktorija Golubic,R,169.0,31.6,6-4 1-6 6-3,Birmingham,113.0,Camila Osorio,R,162.0,22.4,78.0,893.0,81.0,875.0
736,1389,Ajla Tomljanovic,R,180.0,31.1,6-2 6-1,Birmingham,77.0,Anna Blinkova,R,179.0,25.7,190.0,393.0,60.0,1036.0
737,1390,Lin Zhu,R,173.0,30.3,7-6(2) 6-2,Birmingham,95.0,Sorana Cirstea,R,176.0,34.1,54.0,1077.0,29.0,1704.0
738,1393,Harriet Dart,R,175.0,27.8,6-3 6-3,Birmingham,83.0,Moyuka Uchijima,R,171.0,22.8,101.0,716.0,72.0,935.0
739,1394,Barbora Krejcikova,R,178.0,28.4,6-1 7-6(5),Birmingham,94.0,Daria Saville,R,166.0,30.2,25.0,1768.0,85.0,830.0
740,1397,Donna Vekic,R,179.0,27.9,6-0 7-6(6),Bad Homburg,100.0,Viktoriya Tomova,R,170.0,29.3,49.0,1173.0,58.0,1035.0
741,1400,Viktoriya Tomova,R,170.0,29.3,2-6 6-1 7-6(9),Bad Homburg,132.0,Anna Blinkova,R,179.0,25.7,58.0,1035.0,66.0,982.0
742,1402,Paula Badosa,R,180.0,26.6,4-6 6-2 6-1,Bad Homburg,112.0,Jule Niemeier,R,178.0,24.8,113.0,662.0,96.0,741.0
743,1405,Caroline Wozniacki,R,177.0,33.9,6-2 6-4,Bad Homburg,84.0,Veronika Kudermetova,R,175.0,27.1,112.0,666.0,36.0,1488.0
744,1407,Anna Blinkova,R,179.0,25.7,6-3 7-5,Bad Homburg,101.0,Beatriz Haddad Maia,L,185.0,28.0,66.0,982.0,20.0,2213.0
745,1408,Donna Vekic,R,179.0,27.9,6-4 3-6 6-3,Bad Homburg,123.0,Ekaterina Alexandrova,R,175.0,29.6,49.0,1173.0,22.0,2053.0
746,1409,Katerina Siniakova,R,174.0,28.1,6-3 6-7(3) 6-3,Bad Homburg,150.0,Liudmila Samsonova,R,180.0,25.6,27.0,1718.0,15.0,2830.0
747,1410,Jule Niemeier,R,178.0,24.8,2-6 6-2 7-6(4),Bad Homburg,154.0,Maria Sakkari,R,172.0,28.9,96.0,741.0,9.0,3805.0
748,1411,Paula Badosa,R,180.0,26.6,6-4 6-1,Bad Homburg,68.0,Arantxa Rus,L,180.0,33.5,113.0,662.0,55.0,1054.0
749,1416,Veronika Kudermetova,R,175.0,27.1,3-6 7-5 6-1,Bad Homburg,141.0,Diane Parry,R,170.0,21.8,36.0,1488.0,53.0,1077.0
750,1417,Caroline Wozniacki,R,177.0,33.9,6-3 6-7(4) 7-5,Bad Homburg,160.0,Elina Svitolina,R,174.0,29.7,112.0,666.0,21.0,2099.0
751,1419,Viktoriya Tomova,R,170.0,29.3,6-1 6-3,Bad Homburg,73.0,Tatjana Maria,R,172.0,36.8,58.0,1035.0,61.0,994.0
752,1420,Anna Blinkova,R,179.0,25.7,6-4 6-2,Bad Homburg,75.0,Bianca Andreescu,R,170.0,24.0,66.0,982.0,165.0,455.0
753,1421,Beatriz Haddad Maia,L,185.0,28.0,6-1 7-6(6),Bad Homburg,129.0,Tamara Korpatsch,R,170.0,29.1,20.0,2213.0,75.0,895.0
754,1422,Ekaterina Alexandrova,R,175.0,29.6,6-3 6-0,Bad Homburg,60.0,Nadia Podoroska,R,170.0,27.3,22.0,2053.0,65.0,983.0
755,1424,Katerina Siniakova,R,174.0,28.1,6-3 6-7(7) 6-1,Bad Homburg,139.0,Clara Burel,R,176.0,23.2,27.0,1718.0,43.0,1288.0
756,1425,Liudmila Samsonova,R,180.0,25.6,6-3 6-1,Bad Homburg,87.0,Sara Sorribes Tormo,R,176.0,27.7,15.0,2830.0,54.0,1055.0
757,1426,Daria Kasatkina,R,170.0,27.1,6-3 6-4,Eastbourne,110.0,Leylah Fernandez,L,168.0,21.7,14.0,3088.0,30.0,1649.0
758,1427,Leylah Fernandez,L,168.0,21.7,6-3 3-6 6-3,Eastbourne,123.0,Madison Keys,R,178.0,29.3,30.0,1649.0,12.0,3343.0
759,1428,Daria Kasatkina,R,170.0,27.1,3-6 7-5 6-3,Eastbourne,136.0,Jasmine Paolini,R,160.0,28.4,14.0,3088.0,7.0,4068.0
760,1429,Leylah Fernandez,L,168.0,21.7,6-2 6-1,Eastbourne,67.0,Harriet Dart,R,175.0,27.9,30.0,1649.0,105.0,686.0
761,1431,Jasmine Paolini,R,160.0,28.4,6-1 7-6(0),Eastbourne,95.0,Katie Boulter,R,180.0,27.8,7.0,4068.0,32.0,1641.0
762,1432,Daria Kasatkina,R,170.0,27.1,6-2 6-2,Eastbourne,81.0,Emma Raducanu,R,175.0,21.6,14.0,3088.0,168.0,451.0
763,1433,Harriet Dart,R,175.0,27.9,6-3 6-7(3) 6-0,Eastbourne,150.0,Sofia Kenin,R,170.0,25.6,105.0,686.0,48.0,1208.0
764,1434,Leylah Fernandez,L,168.0,21.7,6-2 6-1,Eastbourne,78.0,Ashlyn Krueger,R,185.0,20.1,30.0,1649.0,87.0,804.0
765,1435,Madison Keys,R,178.0,29.3,7-6(5) 6-1,Eastbourne,90.0,Anhelina Kalinina,R,179.0,27.3,12.0,3343.0,44.0,1221.0
766,1436,Karolina Muchova,R,178.0,27.8,6-4 6-1,Eastbourne,105.0,Magda Linette,R,171.0,32.3,35.0,1510.0,46.0,1216.0
767,1437,Katie Boulter,R,180.0,27.8,6-4 7-5,Eastbourne,124.0,Jelena Ostapenko,R,177.0,27.0,32.0,1641.0,13.0,3098.0
768,1439,Daria Kasatkina,R,170.0,27.1,3-6 6-4 6-0,Eastbourne,111.0,Yue Yuan,R,184.0,25.7,14.0,3088.0,38.0,1422.0
769,1440,Emma Raducanu,R,175.0,21.6,4-6 7-6(6) 7-5,Eastbourne,164.0,Jessica Pegula,R,170.0,30.3,168.0,451.0,5.0,5025.0
770,1441,Harriet Dart,R,175.0,27.9,7-5 6-7(7) 6-4,Eastbourne,209.0,Marie Bouzkova,R,180.0,25.9,105.0,686.0,37.0,1445.0
771,1442,Ashlyn Krueger,R,185.0,20.1,6-1 6-7(7) 7-5,Eastbourne,151.0,Viktorija Golubic,R,169.0,31.6,87.0,804.0,69.0,940.0
772,1443,Leylah Fernandez,L,168.0,21.7,6-2 3-6 6-2,Eastbourne,108.0,Barbora Krejcikova,R,178.0,28.5,30.0,1649.0,31.0,1642.0
773,1444,Anhelina Kalinina,R,179.0,27.3,6-3 6-2,Eastbourne,83.0,Sorana Cirstea,R,176.0,34.2,44.0,1221.0,29.0,1675.0
774,1446,Magda Linette,R,171.0,32.3,1-6 7-6(4) 6-4,Eastbourne,136.0,Anastasia Pavlyuchenkova,R,177.0,32.9,46.0,1216.0,25.0,1756.0
775,1448,Katie Boulter,R,180.0,27.8,6-1 7-6(8),Eastbourne,97.0,Petra Martic,R,181.0,33.4,32.0,1641.0,74.0,911.0
776,1449,Elise Mertens,R,179.0,28.6,6-1 6-2,Eastbourne,74.0,Yuriko Miyazaki,R,165.0,28.6,33.0,1629.0,148.0,512.0
777,1450,Daria Kasatkina,R,170.0,27.1,6-4 6-2,Eastbourne,85.0,Xin Yu Wang,R,182.0,22.7,14.0,3088.0,40.0,1411.0
778,1452,Emma Raducanu,R,175.0,21.6,6-4 6-0,Eastbourne,76.0,Sloane Stephens,R,170.0,31.2,168.0,451.0,45.0,1217.0
779,1453,Iga Swiatek,R,176.0,23.0,6-3 6-4,Wimbledon,79.0,Sofia Kenin,R,170.0,25.6,1.0,11585.0,49.0,1221.0
780,1455,Yulia Putintseva,R,163.0,29.4,7-5 6-3,Wimbledon,79.0,Angelique Kerber,L,173.0,36.4,35.0,1553.0,221.0,334.0
781,1457,Caroline Garcia,R,177.0,30.7,6-4 7-5,Wimbledon,88.0,Anna Blinkova,R,179.0,25.8,24.0,1938.0,60.0,1030.0
782,1458,Bernarda Pera,L,175.0,29.5,6-7(4) 6-4 7-6(6),Wimbledon,170.0,Anastasia Potapova,R,175.0,23.2,97.0,752.0,41.0,1415.0
783,1460,Jelena Ostapenko,R,177.0,27.0,6-1 6-2,Wimbledon,69.0,Ajla Tomljanovic,R,180.0,31.1,14.0,3058.0,136.0,556.0
784,1461,Danielle Collins,R,178.0,30.5,6-3 7-6(4),Wimbledon,101.0,Clara Tauson,R,182.0,21.5,11.0,3532.0,66.0,981.0
785,1462,Dalma Galfi,R,178.0,25.8,6-1 6-2,Wimbledon,56.0,Mayar Sherif,R,180.0,28.1,127.0,595.0,78.0,855.0
786,1463,Camila Osorio,R,162.0,22.5,6-3 6-1,Wimbledon,70.0,Lauren Davis,R,157.0,30.7,84.0,815.0,300.0,225.0
787,1464,Beatriz Haddad Maia,L,185.0,28.0,7-5 6-3,Wimbledon,110.0,Magdalena Frech,R,171.0,26.5,20.0,2218.0,58.0,1049.0
788,1465,Barbora Krejcikova,R,178.0,28.5,7-6(4) 6-7(1) 7-5,Wimbledon,194.0,Veronika Kudermetova,R,175.0,27.1,32.0,1643.0,38.0,1488.0
789,1470,Laura Siegemund,R,168.0,36.3,6-4 6-1,Wimbledon,94.0,Kateryna Baindl,R,175.0,30.3,72.0,917.0,184.0,416.0
